nts_song,spotify_track,nts_artist,spotify_artist,song_sim,artist_sim
san francisco night (instrumental),San Francisco Night - Instrumental,chris,Chris,0.9412,1.0
de auto van izjer,De Auto Van Ijzer,mam,MAM,0.9412,1.0
eyes of a child 1,Eyes Of A Child I,the moody blues,The Moody Blues,0.9412,1.0
bob the bob (home),Bob the Bob Home,the lounge lizards,The Lounge Lizards,0.9412,1.0
mona-lisa's smile,Mona Lisa's Smile,molly nilsson,Molly Nilsson,0.9412,1.0
idaymane,Idayimane,sakhile,Sakhile,0.9412,1.0
if it ain't one thang it's another,If It Ain’t One Thang It’s Another,e.s.g.,E.S.G.,0.9412,1.0
"""90%"" of me is you",90% of Me Is You,vanessa kendrick,Vanessa Kendrick,0.9412,1.0
tamp 'em up solid,Tamp' Em up Solid,ry cooder,Ry Cooder,0.9412,1.0
bankroll,Bank Roll,2 low key,2 Low Key,0.9412,1.0
o relgio,O Relógio,os mutantes,Os Mutantes,0.9412,1.0
(it was) september,It Was September,superior elevation,Superior Elevation,0.9412,1.0
slow moon's rise,Slow Moon's Rose,slapp happy,Slapp Happy,0.9375,1.0
love proceeding (,Love Proceeding,badbadnotgood,BADBADNOTGOOD;Arthur Verocai,0.9375,0.6341
leaving home (alternate version),Leaving Home - Alternate Version,yo la tengo,Yo La Tengo,0.9375,1.0
the woman touch,The Woman's Touch,the cigarettes,The Cigarettes,0.9375,1.0
wretched street,A Wretched Street,the cleaners from venus,The Cleaners From Venus,0.9375,1.0
once i had a love (betrock demo),Once I Had A Love - Betrock Demo,blondie,Blondie,0.9375,1.0
hymn to the moonface (break mix),Hymn to the Moonface - Break Mix,bufiman,Bufiman,0.9375,1.0
